campaign,platform,age_group,gender,location,impressions,clicks,spend,conversions,revenue,CTR,CPC,Conversion_Rate,ROAS,ROI
Winter Sale,Instagram,45-54,Female,Hyderabad,136790,6578,38637.73,223,53205.24,4.808831054901674,5.873780784432959,3.390088172696868,1.3770281018061876,37.702810180618776
New Product,Google,35-44,Female,Pune,120616,5604,46209.19,221,27250.03,4.646149764542018,8.24575124910778,3.9436117059243396,0.5897101853549045,-41.028981464509556
Diwali Offer,Facebook,18-24,Male,Bangalore,93752,6161,21882.75,196,48176.5,6.57159313934636,3.5518178867067034,3.18130173673105,2.2015742993910727,120.1574299391073
Winter Sale,Facebook,45-54,Male,Chandigarh,70284,2378,15789.99,76,17453.23,3.3834158556712763,6.640029436501261,3.1959629941127,1.105335088875927,10.533508887592708
Diwali Offer,Instagram,35-44,Female,Bangalore,72043,4955,18361.26,218,49977.08,6.877836847438336,3.705602421796165,4.399596367305752,2.721876385389674,172.1876385389674
Diwali Offer,Instagram,45-54,Female,Pune,112007,5215,29803.55,239,44004.54,4.65595900256234,5.71496644295302,4.582933844678811,1.4764865259339912,47.64865259339911
Summer Sale,Instagram,35-44,Female,Delhi,97844,5340,16447.51,281,49377.53,5.457667307141981,3.0800580524344565,5.262172284644195,3.002127981682334,200.21279816823343
Summer Sale,Google,18-24,Female,Pune,42532,2817,14654.67,214,34755.36,6.623248377692091,5.202225772097977,7.596734114305999,2.3716235165991457,137.16235165991458
Brand Awareness,Facebook,45-54,Female,Hyderabad,137402,3775,26564.6,115,14857.69,2.747412701416282,7.0369801324503305,3.0463576158940397,0.5593041114867154,-44.069588851328454
Tech Fest,Facebook,25-34,Male,Delhi,133012,7548,34610.82,329,49992.52,5.674675969085496,4.585429252782194,4.358770535241123,1.444418826251444,44.44188262514439
Brand Awareness,Instagram,45-54,Male,Hyderabad,71178,4519,29325.92,206,31832.05,6.34887184242322,6.48947112192963,4.558530648373535,1.085457847528739,8.545784752873912
Brand Awareness,Google,35-44,Male,Mumbai,64407,2463,17912.66,62,11641.79,3.8241184964367227,7.272699959399107,2.5172553796183514,0.6499196657559514,-35.00803342440486
Tech Fest,Google,18-24,Female,Pune,65990,3470,27978.84,143,32123.84,5.25837248067889,8.063066282420749,4.121037463976945,1.1481476715975358,14.814767159753586
Fashion Week,Instagram,35-44,Male,Pune,144473,9632,37640.44,400,74533.35,6.666989679732545,3.9078529900332226,4.152823920265781,1.980140242781434,98.01402427814341
Winter Sale,Instagram,45-54,Male,Chandigarh,73141,4568,22364.45,204,26132.04,6.2454710764140495,4.895895359019264,4.46584938704028,1.1684633424922142,16.84633424922142
Flash Sale,Instagram,45-54,Male,Bangalore,71570,2587,8833.3,114,28966.33,3.6146430068464444,3.4144955546965594,4.406648627754155,3.279219544224696,227.92195442246958
Brand Awareness,Instagram,25-34,Female,Delhi,16015,741,6265.08,16,4031.7,4.626912269747112,8.454898785425101,2.1592442645074224,0.6435193165929246,-35.648068340707546
College Offer,Facebook,18-24,Female,Delhi,76813,2460,19832.53,97,22302.87,3.2025828961243543,8.06200406504065,3.9430894308943087,1.1245600031866838,12.456000318668371
College Offer,Facebook,18-24,Male,Chandigarh,42712,1456,8357.07,62,16044.73,3.4088780670537555,5.739745879120879,4.258241758241758,1.9198989598028975,91.98989598028975
Diwali Offer,Instagram,45-54,Female,Chandigarh,115497,7212,54466.46,298,58475.8,6.244318034234656,7.552199112590127,4.132002218524681,1.0736111728208517,7.361117282085165
Tech Fest,Facebook,18-24,Male,Bangalore,127816,4746,26699.8,47,11975.02,3.713150153345434,5.6257479983143694,0.9903076274757691,0.4485059813182122,-55.149401868178785
Diwali Offer,Instagram,25-34,Male,Hyderabad,143778,5603,34971.2,126,16453.67,3.8969800664913965,6.241513474924147,2.2487952882384437,0.4704920048497049,-52.95079951502951
Festive Campaign,Instagram,35-44,Male,Bangalore,77292,4603,13968.94,261,44681.97,5.955338198002381,3.0347469041929176,5.670215077123615,3.1986657541660284,219.86657541660284
Festive Campaign,Instagram,18-24,Male,Pune,38833,2420,17016.53,102,15458.44,6.231813148610717,7.031623966942148,4.214876033057851,0.9084366789233763,-9.156332107662363
Flash Sale,Facebook,45-54,Female,Hyderabad,35309,1473,4811.23,28,4127.67,4.171740915913789,3.2662797012898843,1.9008825526137134,0.8579240651558958,-14.207593484410422
Summer Sale,Google,35-44,Female,Mumbai,21970,1273,9492.0,43,6007.63,5.794264906690942,7.4564021995286724,3.377847604084839,0.6329150863885378,-36.70849136114623
Summer Sale,Instagram,35-44,Female,Bangalore,87474,5686,40894.67,308,63798.48,6.50021720739877,7.192168483995779,5.416813225466057,1.560068341424445,56.0068341424445
Tech Fest,Facebook,25-34,Female,Chandigarh,61540,2492,16827.15,93,21332.81,4.049398765030874,6.752467897271269,3.7319422150882824,1.2677613261901153,26.776132619011534
Tech Fest,Facebook,45-54,Male,Hyderabad,33017,1127,3062.02,27,5425.97,3.4133931005239724,2.7169653948535935,2.3957409050576755,1.7720230436117335,77.20230436117336
Brand Awareness,Instagram,18-24,Female,Bangalore,90880,3187,13763.92,74,10402.53,3.5068221830985915,4.318770003137747,2.321932852212112,0.7557825096338834,-24.421749036611658
Festive Campaign,Facebook,45-54,Male,Delhi,120570,4841,19744.87,125,29194.67,4.01509496558016,4.078675893410452,2.58211113406321,1.4785951996645204,47.85951996645205
Brand Awareness,Instagram,35-44,Female,Mumbai,23702,1362,6348.03,39,8152.31,5.746350518943549,4.660814977973568,2.8634361233480177,1.28422676011298,28.422676011298005
Summer Sale,Instagram,45-54,Female,Pune,146456,8532,25816.61,511,89089.37,5.82564046539575,3.025856774496015,5.989217065166432,3.450854701682366,245.0854701682366
Winter Sale,Google,18-24,Female,Delhi,15404,457,3711.64,9,1929.4,2.966761880031161,8.121750547045952,1.9693654266958425,0.5198241208737917,-48.017587912620826
Winter Sale,Google,18-24,Male,Delhi,27763,889,5176.48,36,5629.92,3.2021035190721463,5.8228121484814395,4.049493813273341,1.0875962043705376,8.759620437053762
Tech Fest,Google,25-34,Male,Mumbai,113142,6521,28256.44,381,64132.55,5.763553764296194,4.333145223125287,5.842662168379083,2.269661358614178,126.96613586141778
Diwali Offer,Instagram,18-24,Male,Pune,95642,5214,25454.17,263,65341.83,5.451579849856757,4.881889144610663,5.044112006137323,2.567038328101054,156.7038328101054
Summer Sale,Instagram,18-24,Male,Chandigarh,65612,4145,21484.43,157,25225.29,6.31744193135402,5.183215922798553,3.787696019300362,1.1741195833447757,17.411958334477575
Winter Sale,Facebook,45-54,Female,Hyderabad,38574,1363,8319.16,44,8175.13,3.533468139161093,6.103565663976522,3.2281731474688184,0.9826869539713144,-1.731304602868556
Summer Sale,Facebook,45-54,Male,Pune,38524,1362,7619.13,37,9050.93,3.5354584155331743,5.594074889867842,2.7165932452276063,1.187921718096423,18.792171809642312
New Product,Instagram,35-44,Male,Bangalore,25916,1717,13764.08,58,12706.7,6.625250810310233,8.016354105998834,3.37798485730926,0.9231783017826111,-7.682169821738897
College Offer,Facebook,25-34,Female,Delhi,19809,570,3124.62,16,2059.34,2.8774799333636225,5.48178947368421,2.807017543859649,0.6590689427834425,-34.093105721655746
Festive Campaign,Instagram,45-54,Female,Bangalore,136288,7653,64690.41,193,27140.13,5.615314627846912,8.452947863582908,2.521886841761401,0.41953869205651967,-58.04613079434803
Brand Awareness,Google,18-24,Male,Chandigarh,53765,2121,16137.73,94,11383.2,3.9449455965776994,7.608547854785479,4.431871758604432,0.7053780178500942,-29.462198214990575
Summer Sale,Instagram,35-44,Female,Bangalore,60106,2992,11223.18,90,18749.61,4.977872425381825,3.751062834224599,3.0080213903743314,1.6706147455533993,67.06147455533993
College Offer,Facebook,45-54,Male,Pune,68932,2156,17428.18,60,10960.46,3.12772007195497,8.083571428571428,2.782931354359926,0.6288929767766915,-37.11070232233085
New Product,Instagram,25-34,Female,Bangalore,72091,4157,13294.91,181,25122.52,5.76632311939077,3.1981982198700987,4.354101515515997,1.8896344540880683,88.96344540880683
Brand Awareness,Facebook,25-34,Male,Chandigarh,36949,1080,7997.07,23,5844.55,2.922947847032396,7.404694444444444,2.1296296296296298,0.7308364188383996,-26.916358116160037
Summer Sale,Facebook,35-44,Male,Chandigarh,52744,2640,12629.07,113,21939.22,5.005308660700743,4.783738636363636,4.28030303030303,1.737199968010313,73.71999680103129
Tech Fest,Instagram,35-44,Male,Chandigarh,123319,5458,42396.9,148,22772.03,4.425919769054241,7.767845364602419,2.7116159765481864,0.5371154494786174,-46.28845505213825
College Offer,Google,35-44,Male,Pune,107193,4583,35327.32,194,36876.39,4.275465748696277,7.708339515601135,4.233035129827624,1.0438490663882796,4.384906638827966
Brand Awareness,Google,35-44,Male,Chandigarh,51187,2033,14913.18,28,6024.11,3.971711567390158,7.3355533694048205,1.3772749631087065,0.4039453691298569,-59.6054630870143
Summer Sale,Google,35-44,Female,Delhi,139454,8696,62960.63,385,50309.29,6.235747988584049,7.240182842686292,4.427322907083717,0.7990595075049282,-20.094049249507187
College Offer,Google,18-24,Male,Chandigarh,29489,1396,6041.99,80,12676.68,4.733968598460443,4.328073065902578,5.730659025787966,2.0980968190943714,109.80968190943715
New Product,Facebook,18-24,Male,Bangalore,76877,3642,10873.25,82,19103.96,4.737437725197393,2.9855161998901703,2.2515101592531575,1.7569687076081208,75.69687076081208
Summer Sale,Google,45-54,Male,Hyderabad,64922,1764,8675.14,27,4977.53,2.717106681864391,4.917879818594104,1.530612244897959,0.5737694146722704,-42.62305853277296
Summer Sale,Instagram,25-34,Male,Bangalore,109074,6348,22479.2,296,58170.16,5.8199020848231475,3.5411468178954,4.662885948330183,2.58773265952525,158.77326595252504
Summer Sale,Instagram,18-24,Male,Hyderabad,52131,3423,22830.41,160,28895.08,6.56615065891696,6.669707858603564,4.674262342974,1.265639995076742,26.5639995076742
Flash Sale,Instagram,18-24,Female,Bangalore,130765,7321,33505.28,318,40114.43,5.598592895652507,4.576598825297091,4.343668897691573,1.197256969647769,19.7256969647769
Tech Fest,Instagram,18-24,Female,Pune,88963,6030,50372.58,311,44536.75,6.778098760158717,8.353661691542289,5.157545605306799,0.8841466925061213,-11.585330749387865
New Product,Instagram,45-54,Male,Bangalore,121884,5947,37738.67,255,46505.84,4.879229431262512,6.3458331932066585,4.2878762401210695,1.2323126384687113,23.231263846871123
Brand Awareness,Instagram,35-44,Female,Pune,140917,10133,75337.67,621,92706.58,7.190757680052797,7.434883055363663,6.1284910687851575,1.2305474804304408,23.054748043044075
Flash Sale,Google,45-54,Male,Pune,39285,2851,9394.47,152,19303.55,7.257222858597428,3.2951490705015782,5.331462644686075,2.0547779704443148,105.47779704443145
Diwali Offer,Instagram,25-34,Female,Chandigarh,52626,2665,20446.11,89,21191.87,5.064036787899518,7.672086303939962,3.3395872420262664,1.036474419828515,3.647441982851498
Flash Sale,Instagram,25-34,Female,Delhi,34198,1698,13646.05,74,19045.15,4.96520264342944,8.036542991755006,4.358068315665489,1.3956529545179743,39.565295451797425
Festive Campaign,Facebook,25-34,Male,Hyderabad,30254,1586,8599.88,95,21948.8,5.242282012295895,5.422370744010088,5.989911727616646,2.5522216589068685,155.22216589068688
Festive Campaign,Instagram,25-34,Female,Chandigarh,59238,4380,26882.33,208,49822.22,7.393902562544313,6.137518264840183,4.748858447488584,1.8533445575588128,85.33445575588127
Summer Sale,Google,18-24,Female,Chandigarh,16252,629,4458.89,11,1692.64,3.8702928870292883,7.08885532591415,1.7488076311605723,0.3796101720383324,-62.03898279616675
Flash Sale,Instagram,18-24,Male,Pune,54764,2735,9706.6,134,34101.36,4.994156745307135,3.5490310786106036,4.899451553930531,3.513213689654462,251.3213689654462
Diwali Offer,Google,45-54,Male,Pune,92709,3858,21278.4,115,16970.5,4.16140827751351,5.515396578538103,2.9808190772420944,0.7975458681103842,-20.24541318896158
