campaign,platform,age_group,gender,location,impressions,clicks,spend,conversions,revenue
Winter Sale,Instagram,45-54,Female,Hyderabad,136790,6578,38637.73,223,53205.24
New Product,Google,35-44,Female,Pune,120616,5604,46209.19,221,27250.03
Diwali Offer,Facebook,18-24,Male,Bangalore,93752,6161,21882.75,196,48176.5
Winter Sale,Facebook,45-54,Male,Chandigarh,70284,2378,15789.99,76,17453.23
Diwali Offer,Instagram,35-44,Female,Bangalore,72043,4955,18361.26,218,49977.08
Diwali Offer,Instagram,45-54,Female,Pune,112007,5215,29803.55,239,44004.54
Summer Sale,Instagram,35-44,Female,Delhi,97844,5340,16447.51,281,49377.53
Summer Sale,Google,18-24,Female,Pune,42532,2817,14654.67,214,34755.36
Brand Awareness,Facebook,45-54,Female,Hyderabad,137402,3775,26564.6,115,14857.69
Tech Fest,Facebook,25-34,Male,Delhi,133012,7548,34610.82,329,49992.52
Brand Awareness,Instagram,45-54,Male,Hyderabad,71178,4519,29325.92,206,31832.05
Brand Awareness,Google,35-44,Male,Mumbai,64407,2463,17912.66,62,11641.79
Tech Fest,Google,18-24,Female,Pune,65990,3470,27978.84,143,32123.84
Fashion Week,Instagram,35-44,Male,Pune,144473,9632,37640.44,400,74533.35
Winter Sale,Instagram,45-54,Male,Chandigarh,73141,4568,22364.45,204,26132.04
Flash Sale,Instagram,45-54,Male,Bangalore,71570,2587,8833.3,114,28966.33
Brand Awareness,Instagram,25-34,Female,Delhi,16015,741,6265.08,16,4031.7
College Offer,Facebook,18-24,Female,Delhi,76813,2460,19832.53,97,22302.87
College Offer,Facebook,18-24,Male,Chandigarh,42712,1456,8357.07,62,16044.73
Diwali Offer,Instagram,45-54,Female,Chandigarh,115497,7212,54466.46,298,58475.8
Tech Fest,Facebook,18-24,Male,Bangalore,127816,4746,26699.8,47,11975.02
Diwali Offer,Instagram,25-34,Male,Hyderabad,143778,5603,34971.2,126,16453.67
Festive Campaign,Instagram,35-44,Male,Bangalore,77292,4603,13968.94,261,44681.97
Festive Campaign,Instagram,18-24,Male,Pune,38833,2420,17016.53,102,15458.44
Flash Sale,Facebook,45-54,Female,Hyderabad,35309,1473,4811.23,28,4127.67
Summer Sale,Google,35-44,Female,Mumbai,21970,1273,9492.0,43,6007.63
Summer Sale,Instagram,35-44,Female,Bangalore,87474,5686,40894.67,308,63798.48
Tech Fest,Facebook,25-34,Female,Chandigarh,61540,2492,16827.15,93,21332.81
Tech Fest,Facebook,45-54,Male,Hyderabad,33017,1127,3062.02,27,5425.97
Brand Awareness,Instagram,18-24,Female,Bangalore,90880,3187,13763.92,74,10402.53
Festive Campaign,Facebook,45-54,Male,Delhi,120570,4841,19744.87,125,29194.67
Brand Awareness,Instagram,35-44,Female,Mumbai,23702,1362,6348.03,39,8152.31
Summer Sale,Instagram,45-54,Female,Pune,146456,8532,25816.61,511,89089.37
Winter Sale,Google,18-24,Female,Delhi,15404,457,3711.64,9,1929.4
Winter Sale,Google,18-24,Male,Delhi,27763,889,5176.48,36,5629.92
Tech Fest,Google,25-34,Male,Mumbai,113142,6521,28256.44,381,64132.55
Diwali Offer,Instagram,18-24,Male,Pune,95642,5214,25454.17,263,65341.83
Summer Sale,Instagram,18-24,Male,Chandigarh,65612,4145,21484.43,157,25225.29
Winter Sale,Facebook,45-54,Female,Hyderabad,38574,1363,8319.16,44,8175.13
Summer Sale,Facebook,45-54,Male,Pune,38524,1362,7619.13,37,9050.93
New Product,Instagram,35-44,Male,Bangalore,25916,1717,13764.08,58,12706.7
College Offer,Facebook,25-34,Female,Delhi,19809,570,3124.62,16,2059.34
Festive Campaign,Instagram,45-54,Female,Bangalore,136288,7653,64690.41,193,27140.13
Brand Awareness,Google,18-24,Male,Chandigarh,53765,2121,16137.73,94,11383.2
Summer Sale,Instagram,35-44,Female,Bangalore,60106,2992,11223.18,90,18749.61
College Offer,Facebook,45-54,Male,Pune,68932,2156,17428.18,60,10960.46
New Product,Instagram,25-34,Female,Bangalore,72091,4157,13294.91,181,25122.52
Brand Awareness,Facebook,25-34,Male,Chandigarh,36949,1080,7997.07,23,5844.55
Summer Sale,Facebook,35-44,Male,Chandigarh,52744,2640,12629.07,113,21939.22
Tech Fest,Instagram,35-44,Male,Chandigarh,123319,5458,42396.9,148,22772.03
College Offer,Google,35-44,Male,Pune,107193,4583,35327.32,194,36876.39
Brand Awareness,Google,35-44,Male,Chandigarh,51187,2033,14913.18,28,6024.11
Summer Sale,Google,35-44,Female,Delhi,139454,8696,62960.63,385,50309.29
College Offer,Google,18-24,Male,Chandigarh,29489,1396,6041.99,80,12676.68
New Product,Facebook,18-24,Male,Bangalore,76877,3642,10873.25,82,19103.96
Summer Sale,Google,45-54,Male,Hyderabad,64922,1764,8675.14,27,4977.53
Summer Sale,Instagram,25-34,Male,Bangalore,109074,6348,22479.2,296,58170.16
Summer Sale,Instagram,18-24,Male,Hyderabad,52131,3423,22830.41,160,28895.08
Flash Sale,Instagram,18-24,Female,Bangalore,130765,7321,33505.28,318,40114.43
Tech Fest,Instagram,18-24,Female,Pune,88963,6030,50372.58,311,44536.75
New Product,Instagram,45-54,Male,Bangalore,121884,5947,37738.67,255,46505.84
Brand Awareness,Instagram,35-44,Female,Pune,140917,10133,75337.67,621,92706.58
Flash Sale,Google,45-54,Male,Pune,39285,2851,9394.47,152,19303.55
Diwali Offer,Instagram,25-34,Female,Chandigarh,52626,2665,20446.11,89,21191.87
Flash Sale,Instagram,25-34,Female,Delhi,34198,1698,13646.05,74,19045.15
Festive Campaign,Facebook,25-34,Male,Hyderabad,30254,1586,8599.88,95,21948.8
Festive Campaign,Instagram,25-34,Female,Chandigarh,59238,4380,26882.33,208,49822.22
Summer Sale,Google,18-24,Female,Chandigarh,16252,629,4458.89,11,1692.64
Flash Sale,Instagram,18-24,Male,Pune,54764,2735,9706.6,134,34101.36
Diwali Offer,Google,45-54,Male,Pune,92709,3858,21278.4,115,16970.5
Flash Sale,Google,35-44,Female,Hyderabad,68682,1982,9695.9,19,4810.8
Tech Fest,Instagram,25-34,Female,Bangalore,74494,3275,11063.75,140,36298.46
Tech Fest,Instagram,45-54,Female,Bangalore,96317,4136,19460.73,106,23281.97
Diwali Offer,Google,18-24,Male,Chandigarh,80215,2870,8348.93,77,19816.73
Flash Sale,Facebook,18-24,Female,Mumbai,93587,3236,8591.16,101,20173.29
College Offer,Facebook,35-44,Female,Mumbai,21949,829,2744.82,26,4064.73
Tech Fest,Google,35-44,Female,Bangalore,70393,4477,37063.7,232,42033.63
Tech Fest,Instagram,35-44,Male,Mumbai,40934,1760,10203.03,47,9545.63
Winter Sale,Instagram,45-54,Male,Bangalore,90745,6062,50283.88,311,40501.97
Flash Sale,Instagram,18-24,Male,Pune,109456,5739,29240.13,196,40597.1
Tech Fest,Google,18-24,Male,Chandigarh,68413,3037,13274.41,126,32427.98
New Product,Facebook,35-44,Female,Delhi,112239,4837,26781.75,191,28003.48
Flash Sale,Instagram,25-34,Male,Chandigarh,57318,2380,12226.23,47,10855.28
Festive Campaign,Instagram,35-44,Female,Bangalore,85390,5088,15945.73,276,68201.21
Winter Sale,Instagram,45-54,Female,Bangalore,58088,3310,21001.81,110,27733.0
